SKU,ID,peso_lb,peso_dim_lb,peso_efetivo_lb,preco,lambda,fonte_dim,status,no_general_hoje
AMST-0497.300.020,7715206168679,23.0,23.7,23.72,135.65,0.1749,LWH,ACTIVE,sim
AMST-0552.001.020,7715206201447,43.7,30.6,43.7,257.99,0.1694,LWH,ACTIVE,sim
AMST-0610.000.020,7715206266983,27.0,23.5,27.0,306.25,0.0882,LWH,ACTIVE,sim
AMST-0614.000.020,7715206332519,25.8,25.7,25.8,247.17,0.1044,LWH,ACTIVE,sim
AMST-0618.000.020,7715206955111,27.0,32.5,32.45,279.63,0.1161,LWH,ACTIVE,sim
AMST-0641.001.020,7715207053415,53.3,32.0,53.3,236.35,0.2255,LWH,ACTIVE,sim
AMST-0641.004.020,7715207118951,53.3,32.0,53.3,236.35,0.2255,LWH,ACTIVE,sim
AMST-0643.001.020,7715207381095,17.0,25.8,25.83,292.94,0.0882,LWH,ACTIVE,sim
AMST-0954.004EC.020,7715207512167,1.0,,1.0,217.22,0.0046,,ACTIVE,sim
AMST-0955.001EC.020,7715207676007,46.1,41.4,46.1,217.22,0.2122,LWH,ACTIVE,sim
AMST-1297.001.020,7715207741543,1.0,30.2,30.16,419.43,0.0719,LWH,ACTIVE,sim
AMST-1582.000.243,7715207938151,1.45,,1.45,273.0,0.0053,,ACTIVE,sim
AMST-2234.001.020,7715208364135,64.0,60.6,64.0,139.81,0.4578,LWH,ACTIVE,nao
AMST-2257.101.020,7715208396903,50.0,45.4,50.0,145.63,0.3433,LWH,ACTIVE,nao
AMST-2257.101USMCA.020,7715208495207,40.0,,40.0,153.12,0.2612,,ACTIVE,nao
AMST-2282.001.020,7715208593511,35.8,36.2,36.15,234.69,0.154,LWH,ACTIVE,nao
AMST-2294.011EC.020,7715208691815,55.9,52.1,55.9,521.81,0.1071,LWH,ACTIVE,nao
AMST-2390.202.020,7715208757351,96.0,221.2,221.18,560.97,0.3943,LWH,ACTIVE,nao
AMST-2391.202.020,7715208822887,96.0,221.2,221.18,560.97,0.3943,LWH,ACTIVE,nao
AMST-2391.202.222,7715208888423,96.0,221.2,221.18,850.53,0.26,LWH,ACTIVE,nao
AMST-2460.002.020,7715208953959,147.0,335.6,335.65,1097.6,0.3058,LWH,ACTIVE,nao
AMST-2461.002.020,7715208986727,147.0,333.4,333.39,1097.6,0.3037,LWH,ACTIVE,nao
AMST-2765.034.020,7715209052263,128.0,,128.0,3019.9,0.0424,,ACTIVE,nao
AMST-2946.102.020,7715209117799,78.0,,78.0,717.11,0.1088,,ACTIVE,nao
AMST-2946.202.020,7715209216103,78.0,331.4,331.4,717.11,0.4621,LWH,ACTIVE,nao
AMST-3043.001.020,7715209281639,64.2,56.8,64.2,172.27,0.3727,LWH,ACTIVE,nao
AMST-3053.000.020,7715209379943,73.8,54.4,73.8,453.56,0.1627,LWH,ACTIVE,nao
AMST-3053.120.020,7715209412711,73.4,54.4,73.4,496.83,0.1477,LWH,ACTIVE,nao
AMST-3075.000.020,7715209478247,77.4,58.3,77.4,483.51,0.1601,LWH,ACTIVE,nao
AMST-3075.120.020,7715209511015,77.4,58.3,77.4,467.7,0.1655,LWH,ACTIVE,nao
AMST-3128.001.020,7715209642087,35.8,36.2,36.15,168.94,0.214,LWH,ACTIVE,nao
AMST-3195A.101.020,7715209674855,70.05,63.8,70.05,274.63,0.2551,LWH,ACTIVE,nao
AMST-3195B.101.020,7715209740391,66.9,59.3,66.9,223.88,0.2988,LWH,ACTIVE,nao
AMST-3195C.101.020,7715209773159,60.8,58.8,60.8,234.69,0.2591,LWH,ACTIVE,nao
AMST-3271.101.020,7715209838695,67.0,62.7,67.0,280.45,0.2389,LWH,ACTIVE,nao
AMST-3341.001.020,7715209904231,66.6,63.4,66.6,562.72,0.1184,LWH,ACTIVE,nao
AMST-3342.001.020,7715209969767,66.6,63.4,66.6,732.35,0.0909,LWH,ACTIVE,nao
AMST-3351.101.020,7715210035303,50.0,45.4,50.0,177.25,0.2821,LWH,ACTIVE,nao
AMST-3359A.101.020,7715210133607,40.0,,40.0,479.36,0.0834,,ACTIVE,nao
AMST-3385A.101.020,7715210199143,65.7,65.2,65.7,237.18,0.277,LWH,ACTIVE,nao
AMST-3437A.101.020,7715210264679,40.0,53.4,53.39,201.39,0.2651,LWH,ACTIVE,nao
AMST-3437C.101.020,7715210297447,40.0,49.0,49.02,135.65,0.3614,LWH,ACTIVE,nao
AMST-3437D.101.020,7715210395751,40.0,45.5,45.51,97.36,0.4675,LWH,ACTIVE,nao
AMST-3445J.101.020,7715210461287,45.0,50.1,50.06,431.08,0.1161,LWH,ACTIVE,nao
AMST-3445L.101.020,7715210526823,60.4,50.1,60.4,455.22,0.1327,LWH,ACTIVE,nao
AMST-3447.101.020,7715210559591,77.9,59.1,77.9,313.74,0.2483,LWH,ACTIVE,nao
AMST-3451.001.020,7715210625127,56.4,58.3,58.31,178.09,0.3274,LWH,ACTIVE,nao
AMST-3461.001.020,7715210690663,59.0,56.8,59.0,212.22,0.278,LWH,ACTIVE,nao
AMST-3481.001.020,7715210756199,52.4,53.7,53.74,121.5,0.4423,LWH,ACTIVE,nao
AMST-3483.001.020,7715210821735,54.9,58.7,58.7,147.3,0.3985,LWH,ACTIVE,nao
AMST-3517A.101.020,7715210887271,58.9,58.4,58.9,253.83,0.232,LWH,ACTIVE,nao
AMST-3517A.101.021,7715210952807,58.9,58.4,58.9,368.67,0.1598,LWH,ACTIVE,nao
AMST-3517A.101.222,7715210985575,58.9,58.4,58.9,368.67,0.1598,LWH,ACTIVE,nao
AMST-3517B.101.020,7715211051111,57.0,54.2,57.0,223.86,0.2546,LWH,ACTIVE,nao
AMST-3517C.101.020,7715211083879,56.0,49.6,56.0,195.57,0.2863,LWH,ACTIVE,nao
AMST-3517D.101.020,7715211182183,55.0,49.4,55.0,159.78,0.3442,LWH,ACTIVE,nao
AMST-3517D.101.021,7715211247719,55.0,49.4,55.0,254.66,0.216,LWH,ACTIVE,nao
AMST-3517F.101.020,7715211280487,59.0,58.4,59.0,251.33,0.2348,LWH,ACTIVE,nao
AMST-3519A.101.020,7715211346023,59.8,58.5,59.8,228.03,0.2622,LWH,ACTIVE,nao
AMST-3519B.101.020,7715211411559,40.0,,40.0,163.11,0.2452,,ACTIVE,nao
AMST-3520.000.002,7715211477095,1.0,,1.0,79.89,0.0125,,ACTIVE,sim
AMST-3701.001.020,7715211542631,59.8,57.9,59.8,304.12,0.1966,LWH,ACTIVE,nao
AMST-3703.001.020,7715211640935,63.0,62.7,63.0,443.85,0.1419,LWH,ACTIVE,nao
AMST-3705.216.020,7715211706471,50.5,60.4,60.38,225.52,0.2677,LWH,ACTIVE,nao
AMST-3706.216.020,7715212165223,48.2,60.6,60.64,192.24,0.3154,LWH,ACTIVE,nao
AMST-3712A.100.020,7715212329063,40.0,76.1,76.05,575.06,0.1322,LWH,ACTIVE,nao
AMST-3870A.101.020,7715212394599,40.0,,40.0,237.18,0.1686,,ACTIVE,nao
AMST-4000.101.020,7715212591207,32.0,19.5,32.0,123.16,0.2598,LWH,ACTIVE,nao
AMST-4000.813.020,7715212755047,32.0,20.8,32.0,129.0,0.2481,LWH,ACTIVE,nao
AMST-4019.228.020,7715212886119,28.2,19.2,28.2,153.96,0.1832,LWH,ACTIVE,nao
AMST-4133A.114.020,7715212984423,33.2,19.1,33.2,126.5,0.2625,LWH,ACTIVE,nao
AMST-4133A.218.020,7715213115495,40.0,21.6,40.0,236.35,0.1692,LWH,ACTIVE,nao
AMST-4142.016.020,7715213377639,45.7,29.1,45.7,327.88,0.1394,LWH,ACTIVE,nao
AMST-4142.100.020,7715213607015,45.7,29.1,45.7,327.88,0.1394,LWH,ACTIVE,nao
AMST-4142.800.020,7715213770855,40.0,,40.0,333.72,0.1199,,ACTIVE,nao
AMST-4142.801.020,7715213869159,45.7,29.1,45.7,333.72,0.1369,LWH,ACTIVE,nao
AMST-4188A.004.020,7715214032999,31.2,22.8,31.2,134.82,0.2314,LWH,ACTIVE,nao
