sku,vid,pid,status,preco,peso_efetivo_lb,lam,perfil_atual,destino,titulo
COPF-100-2HSTR-C,44351079088231,7715631595623,ACTIVE,1.89,4.94,2.61394,General profile,Standard,"Mueller Streamline A 02614 1"" Copper Sweat Fittings - Two Hole Strap"
COPF-125-2HSTR-C,44351087837287,7715633561703,ACTIVE,2.28,5.86,2.57139,General profile,Standard,"Mueller Streamline A 02650 1-1/4"" Copper Sweat Fittings - Two Hole Strap"
COPF-150-2HSTR-C,44351091834983,7715635298407,ACTIVE,2.78,6.93,2.49438,General profile,Standard,"Mueller Streamline A 02675 1-1/2"" Copper Sweat Fittings - Two Hole Strap"
COPF-200-2HSTR-C,44351096324199,7715636969575,ACTIVE,3.07,7.77,2.53006,General profile,Standard,"Mueller Streamline A 02708 2"" Copper Sweat Fittings - Two Hole Strap"
COPF-DWV-150-TCAP-C,44351107858535,7715642179687,ACTIVE,3.25,8.33,2.56398,General profile,Standard,"Mueller Streamline W 07638 1-1/2"" Copper Fittings - DWV - Test Cap C"
CTRO-ICTC0335,44350391779431,7715280519271,ACTIVE,99.45,5.42,0.05453,General profile,Standard,Centrotherm 3'' Twin Pipe to 3''/5'' Concentric Adpt
CTRO-ISEL0645,44350393647207,7715282387047,ACTIVE,111.89,5.43,0.04854,General profile,Standard,"Centrotherm 6"" - 45 Degree Elbow PolyPro SW"
CTRO-ISEL0687,44350394007655,7715282747495,ACTIVE,111.89,4.56,0.04079,General profile,Standard,"Centrotherm 6"" - 87 Degree Elbow PolyPro SW"
CTRO-ISLPT0202,44350394728551,7715283468391,ACTIVE,78.86,4.1,0.05202,General profile,Standard,"Centrotherm 2"" Low Profile Wall Termination"
CTRO-ISLPT0303,44350394761319,7715283501159,ACTIVE,118.27,4.1,0.03469,General profile,Standard,"Centrotherm 3"" Low Profile Wall Termination"
CTRO-ISVL061,44350395351143,7715284090983,ACTIVE,117.6,5.62,0.04775,General profile,Standard,"Centrotherm 6"" x 12"" - PolyPro Single Wall Vent Pipe"
