ven,lb,skus,tamanhos,free,preco_max,valor_free,exemplos
Mueller Streamline,1.17,6,5,1,103.91,103.91,CPPF-200-MA | GAIF-125.100.075-TEE-G | GAIF-125.100.100-TEE-G | BLIF-125.100.075-TEE
Mueller Streamline,1.16,5,4,1,100.29,100.29,COPF-200-LT90-C | GAIF-200.050-BSH-G | GAIF-150-45EL-G | BLIF-150-45EL
Mueller Streamline,0.72,5,4,1,80.85,80.85,CPPF-150.050-TEE | GAIF-050-NIPX-G | BLIF-100.075.050-TEE | BLPN-150-3.5
Legend Valve,1.8,17,4,1,69.09,69.09,LEGE-110-106 | LEGE-110-169 | LEGE-110-105 | LEGE-101-588NL
Mueller Streamline,0.79,6,5,1,66.2,66.2,CPPF-150.075-TEE | GAPN-125-8 | GAIF-125.075-90EL-G | BLIF-125.075-90EL
Mueller Streamline,0.43,11,6,1,56.34,56.34,COPF-DWV-300.150-CPL-C | GAIF-100.050.100-TEE-G | BLIF-100.050.075-TEE | BLIF-075.100-TEE
Mill Rose,0.84,5,7,1,41.71,41.71,MILL-76020 | MILL-70827 | MILL-70826 | MILL-70887
Mueller Streamline,0.45,18,9,1,34.06,34.06,CPPF-125.050-TEE | GAIF-100.050-90EL-G | BLIF-100.050-90EL | GAIF-050-ST90-G
Charlotte Pipe,0.78,5,4,1,28.21,28.21,ABSF-300.200-DST-A | ABSF-300.150-WYE-A | PDWV-400300CPL-P | PDWV-400FA-P
Sioux Chief,0.46,9,4,1,23.89,23.89,SIOU-660-HB | SIOU-842-82PT | SIOU-641PX433 | SIOU-641PX434
nVent Caddy,0.35,4,4,1,22.56,22.56,HGRI-300-0075-EG | HGRI-COPC-0250-CP | HGRI-300-0037-EG | HGRI-300-0037-PL
Charlotte Pipe,0.29,7,4,1,16.16,16.16,CPVC-125-TEE-V | ABSF-300.150-FLB-A | ABSF-300.200-CPL-A | PDWV-150LTST90
Charlotte Pipe,0.41,5,4,1,15.4,15.4,ABSF-200.150.150.150-DFT-A | PDWV-200150150WYE | ABSF-400.300-FLB-A | PDWV-200LTST90
nVent Caddy,0.18,5,9,1,10.47,10.47,HGRI-025-0062-EG | HGRI-COPC-0125-CP | HGRI-402-0150-CP | HGRI-RIGD-0100-EG
Charlotte Pipe,0.27,4,4,1,9.33,9.33,ABSF-300-MA-A | PVCF-250.200-BSH-P | ABSF-400-PLG-A | ABSF-200.150-SANT-A
nVent Caddy,0.2,11,25,1,7.88,7.88,HGRI-454010 | HGRI-454009 | HGRI-COPC-0150-CP | HGRI-CCC-0087
nVent Caddy,0.14,5,7,1,7.47,7.47,HGRI-101-0250-CP | HGRI-NUT-0062-EG | HGRI-CCC-0062 | HGRI-COPC-0075-CP
nVent Caddy,0.17,5,8,1,7.25,7.25,HGRI-456-0150-CP | HGRI-CCC-0075 | HGRI-COPC-0100-CP | HGRI-115-0350-EG
BrassCraft,0.01,5,4,1,5.01,5.01,CMPF-025-CAP-NL | CMPF-058-SLV | CMPF-050-SLV | CMPF-038-SLV
nVent Caddy,0.13,6,9,1,4.81,4.81,HGRI-456-0100-CP | HGRI-CCC-0050 | HGRI-COPC-0050-CP | HGRI-RIGD-0050-EG
C&S Manufacturing,0.05,15,7,1,2.27,2.27,META-THPS-400G | META-THPS-300G | META-THPS-250G | META-THPS-200C
Fiat Products,50.0,6,4,1,62.86,0.0,FIAT-889-CC | FIAT-832-AA | FIAT-E77AA-24 | FIAT-QDC3SN
Anvil,1.89,11,5,0,467.4,0,ANVI-AS200-EH-BTB-20-PGV | ANVI-AS100-EH-20-PGV | ANVI-AS200-EH-10-304SS | ANVI-AS200-20-PGV
C&S Manufacturing,0.62,7,5,0,0.83,0,META-FHA-100-916-4 | META-NP16-300-5 | META-PS0616-1 | META-NP16-125-6
Cain Bolt & Gaskets,0.88,23,10,0,24.03,0,CAIN-FAS-JBK060A325ZBB | CAIN-FIK-SWS025ADW | CAIN-FAS-JBK040A300ZBB | CAIN-NON-ASBESTOS-600
Cain Bolt & Gaskets,0.06,4,4,0,0.93,0,CAIN-050.038-ZRCPLG | CAIN-FAS-JLAG0250200G | CAIN-FW-025.125 | CAIN-FW-038.125
CAMCO MANUFACTURING INC.,76.0,11,5,0,64.14,0,CAMC-07013 | CAMC-02933 | CAMC-11513 | CAMC-11505
Charlotte Pipe,0.34,6,5,0,36.8,0,ABSP-200-20 | ABSP-200-10 | ABSF-150-LTTY-A | ABSF-200.150-WYE-A
Charlotte Pipe,0.26,7,4,0,27.0,0,ABSP-150-20 | ABSP-150-10 | ABSF-150-WYE-A | PVCF-200-TCAP-P
Charlotte Pipe,0.24,8,4,0,6.62,0,PVCF-150-ST90-P | PVCF-125-ST90-P | ABSF-200-ST90-A | PVCF-150-45EL-P
Charlotte Pipe,0.47,6,5,0,60.3,0,CPVP-150-10-V | PDWV-200TET-P | ABSF-400-CLF-A | PDWV-300FA-P
Charlotte Pipe,0.54,13,11,0,247.8,0,PVCP-800-SCH40-PE | PVCP-600-SCH40-PE | PVCP-400-SCH40-PE | PVCP-300-SCH40-PE
Charlotte Pipe,0.63,5,6,0,1202.4,0,PVCP-600-SCH80 | PVCP-400-SCH80 | PVCP-800-SCH40-BE | PVCP-600-SCH40-BE
Diablo,2.0,9,4,0,17.05,0,DIAB-DSQ21P25 | DIAB-DSQ22P15 | DIAB-DT251P25 | DIAB-DT252P15
DiversiTech,7.0,5,6,0,191.64,0,DIVE-U3660-3 | DIVE-6-HDT304K | DIVE-PF42440 | DIVE-D90-370
E. L Mustee & Sons,60.5,4,6,0,297.99,0,MUST-4236M | MUST-3442M | MUST-3636M | MUST-3232M
Easyflex,2.5,20,9,0,40.17,0,EASF-EFGC-034-YE-1415-36 | EASF-EFGC-034-SS-1515-36 | EASF-EFGC-034-YE-1415-24 | EASF-EFGC-034-SS-1515-24
Ecco Manufacturing,2.19,11,6,0,87.0,0,ECCO-300706 | ECCO-138934 | ECCO-138834 | ECCO-138824
Fluidmaster,0.32,21,8,0,10.05,0,FLUI-B4F16U | FLUI-PRO4F30 | FLUI-PRO6F20 | FLUI-B8F20
Gerber,20.0,4,6,0,80.62,0,GERB-12-780 | GERB-12-831-CH | GERB-12-834-CH | GERB-12-838-CH
Legend Valve,3.0,6,4,0,96.02,0,BRIF-300-CPL-NL | LEGE-105-006NL | LEGE-105-106NL | LEGE-105-203NL
Legend Valve,2.06,4,4,0,60.0,0,LEGE-101-046NL | LEGE-101-045NL | LEGE-101-044NL | LEGE-101-043NL
LSP Products,0.5,5,4,0,1.24,0,SPEC-P-0074 | SPEC-P-0073 | SPEC-P-0071 | SPEC-P-0004
LSP Products,0.05,10,5,0,1.26,0,SPEC-P-2025 | SPEC-P-2058 | SPEC-P-2060 | SPEC-P-2056
Mission Rubber Company,1.75,10,5,0,44.31,0,MISS-0706-515 | MISS-0704-510 | MISS-0703-512 | MISS-0702-514
Mission Rubber Company,1.35,19,6,0,32.2,0,MISS-MR56-64 | MISS-MR56-66 | MISS-MR02-64 | MISS-MR06-64
MrPEX Systems,29.2,21,17,0,1738.01,0,MPEX-1220160 | MPEX-1230110 | MPEX-1230100 | MPEX-1220120
Mueller Streamline,0.73,5,5,0,9.68,0,GAIF-100.050.050-TEE-G | GAIF-100.075.100-TEE-G | BLIF-100.050.050-TEE | BLIF-100.075.100-TEE
Mueller Streamline,1.14,5,6,0,702.4,0,COPT-158-ACR | GAIF-150.125-90EL-G | BLIF-150.075-90EL | BLIF-150.100-90EL
Mueller Streamline,1.31,6,4,0,12.5,0,GAIF-075-CRS-G | GAIF-200-CPL-G | GAIF-200.100-CPL-G | GAIF-200.150-CPL-G
Mueller Streamline,2.13,4,5,0,21.67,0,BLIF-200.125-TEE | BLIF-200.150-TEE | BLPN-150-10 | BLPN-050-30
NDS National,4.5,9,6,0,70.75,0,NDSP-111BCW | NDSP-113BCM | NDSP-113B | NDSP-117-6
nVent Caddy,0.11,8,10,0,3.24,0,HGRI-011-0075-EG | HGRI-455-0050-PL | HGRI-101-0125-CP | HGRI-101-0075-CP
nVent Caddy,0.15,4,8,0,4.54,0,HGRI-011-0087-EG | HGRI-F150000-EG | HGRI-401-0050-EG | HGRI-F160000-EG
nVent Caddy,0.16,4,6,0,3.01,0,HGRI-RIGD-0075-EG | HGRI-365M-0037-PL | HGRI-F140000-EG | HGRI-115-0200-EG
nVent Caddy,0.31,4,7,0,7.39,0,HGRI-COPC-0200-CP | HGRI-325-0037-EG | HGRI-401-0150-EG | HGRI-115-0250-EG
nVent Caddy,0.3,4,7,0,4.89,0,HGRI-325-0050-EG | HGRI-RIGD-0150-EG | HGRI-USC-076-EG | HGRI-USC-063-EG
nVent Caddy,0.78,4,8,0,11.16,0,HGRI-402-0400-CP | HGRI-511-0100-CP | HGRI-401-0300-EG | HGRI-401-0250-EG
"PRIER Products, Inc.",5.0,13,7,0,90.38,0,PRIE-P-164T12 | PRIE-P-164D10 | PRIE-P-164X10 | PRIE-P-164D08
Rheem Manufacturing,76.0,39,16,0,1758.32,0,RHEE-SP20907B | RHEE-EGSP20-277V-6KW | RHEE-SP20906A | RHEE-SP20906C
Rheem Manufacturing,150.0,18,6,0,7576.07,0,RHEE-PROP-G50-100P-RH-HE-EC3 | RHEE-PROP-G50-100U-RH-HE-EC3 | RHEE-PROP-G50-76P-RH-HE-EC3 | RHEE-PROP-G50-76U-RH-HE-EC3
Rheem Manufacturing,240.0,8,4,0,5351.61,0,RHEE-PROPH80-T2-RH400-SO | RHEE-PROPH65-T2-RH400-SO | RHEE-PROPH65-T2-RH375-SO | RHEE-PROPH50-T2-RH400-SO
RJB Wholesale,1.03,5,5,0,157.8,0,S&DP-600-3034G | S&DP-400-3034G | S&DP-400-3034G-14 | S&DP-400-3034SW-10
Sioux Chief,0.07,6,7,0,2.08,0,SIOU-845-2PPK | SIOU-590-4411 | SIOU-553-9W | SIOU-553-8W
Sterling Water Treatment,1.0,9,5,0,27.7,0,STEW-GBJ1005 | STEW-BRK-J | STEW-IC10T | STEW-IC06Q
Tyler Pipe Company,15.0,4,5,0,258.17,0,NHSF-800-1/8 | NHSF-800.200-WYE | NHSF-1000.400-SRED | NHSF-600-SANT
Valencia Pipe,0.94,8,16,0,1898.19,0,BLIP-1000-A53B-PE | BLIP-800-A53B-PE | BLIP-500-A53B-PE | BLIP-600-A53B-PE
Viega,13.14,6,5,0,430.38,0,VEGA-32063 | VEGA-32266 | VEGA-33323 | VEGA-32023
