ven,lb,skus,tamanhos,free,preco_max,valor_free,exemplos
Viega,0.5,23,7,18,710.14,1984.52,VEGA-20839 | VEGA-79475 | VEGA-79140 | VEGA-79415
Diablo,0.49,24,11,18,280.38,1091.16,DIAB-DHS17SPL | DIAB-DHS11SLD | DIAB-DHS14SGP | DIAB-DHS6000
Mueller Streamline,0.14,21,5,18,34.44,317.51,CFCB-075.100-TEE | COPF-050-TEECF-LF | COPF-075-CPL/WD-C | COPF-050-TEECF-C
Mueller Streamline,0.12,18,8,18,35.61,254.32,GAPN-075-48 | COPF-050-DE90-LF | CPPF-075.050-CPLG | CFCB-125.075-FTR
Sioux Chief,0.06,24,5,18,28.12,93.31,SIOU-672X0490 | SIOU-645X3P | SIOU-646XG43 | SIOU-644X43
Taco Comfort Solutions,2.19,17,4,17,1585.1,10882.14,TACO-0034E-SF2 | TACO-0026E-SF2 | TACO-0013-VDTF3 | TACO-0034E-F2
Milwaukee Valve,1.44,17,8,17,3071.87,10339.67,MLWV-2885-M-600S | MLWV-2885-M-400 | MLWV-2885-M-300 | MLWV-1182-200
Milwaukee Tools,5.5,50,7,17,2767.92,9407.28,MILW-48-21-8070 | MILW-2941-21 | MILW-48-21-8000 | MILW-48-21-8010
Mueller Streamline,0.39,26,11,17,1991.7,2668.86,COPF-600.200-TEE-C | COPF-400-CPL/RS-C | COPF-075-PTR-C | CFCB-125.100.100-TEE
Jomar,1.33,30,5,17,286.12,1830.62,JOMA-105-209G | JOMA-105-628G | JOMA-105-618G | JOMA-105-108G
Diablo,0.11,17,9,17,62.95,277.25,DIAB-DSPD4920-S6 | DIAB-DSP2980-S16 | DIAB-DSPD4070 | DIAB-DSPD4060
Mueller Streamline,0.02,20,6,17,14.13,85.11,COPF-050.025-FLBF-C | COPF-025-LTST90-C | COPF-038-45EL-C | COPF-DWV-200-TCAP-C
"Woodford Manufacturing Company, LLC",3.0,30,8,16,1642.39,10246.83,WOOD-RHY2-2-MS | WOOD-HCB67-8 | WOOD-B22P-6 | WOOD-B65P-12
