sku,ven,price,lb_loja,lb_fornecedor,cube_in3,lb_dimensional,lb_efetivo,lambda,excesso_x,title
AMST-0497.300.020,American Standard,135.65,1.0,23,3297.3271,23.72,23.72,0.1749,5.2,American Standard 0497300.020 Ovalyn Large Under Counter Sink With Glazed Underside White
AMST-6601.012.020,American Standard,455.22,1.0,75,10824.3991,77.87,77.87,0.1711,5.1,American Standard 6601012.020 Lynbrook® 1.0 gpf/3.8 Lpf Top Spud Blowout Urinal White
AMST-0552.001.020,American Standard,257.99,1.0,43.7,4252.2217,30.59,43.7,0.1694,5.0,American Standard 0552001.020 Loft® Above Counter Sink With Center Hole Only White
AMST-6581.001.020,American Standard,208.89,1.0,35,3938.6473,28.34,35,0.1676,5.0,American Standard 6581001.020 Maybrook® 0.125 - 1.0 gpf (0.47 - 3.8 Lpf) Top Spud Urinal W
MILW-48-22-6312,Milwaukee Tools,31.93,0.92,5.28,,,5.28,0.1654,4.9,"Milwaukee Tools 48-22-6312 12"" Comfort Grip Straight-Jaw Pliers"
AMST-6400.001.020,American Standard,749.82,1.0,112,16086.5467,115.73,115.73,0.1543,4.6,American Standard 6400001.020 Stallbrook® 0.5 - 1.0 gpf (1.9 - 3.8 Lpf) Top Spud Urinal Wh
MUST-12K,E. L Mustee & Sons,92.14,1.0,14,3.6,0.03,14,0.1519,4.5,"E. L Mustee & Sons E.L. Mustee & Sons - (Drop-In Sink) White, Single Bowl SinksPolypropyle"
DURA-0481570000,Duravit,199.88,1.0,17.637,4002.5039,28.79,28.79,0.1441,4.3,"Duravit 0481570000 Design Classics 22 5/8"" Oval Undermount Sink in White with Overflow"
TOTO-UT104E-01,Toto,250.38,1.0,34,5015.472,36.08,36.08,0.1441,4.3,Toto UT104E#01 COMMERCIAL WASHOUT URINAL W/ TOP SPUD--COTTON
AMST-4188A.054.020,American Standard,218.87,2.0,31.2,3168.2682,22.79,31.2,0.1426,4.2,American Standard 4188A054.020 Cadet® PRO 1.6 gpf/6.0 Lpf 12-Inch Rough Lined Tank White
GERB-12-555,Gerber,320.62,1.0,45,,,45,0.1404,4.2,"Gerber G0012555 Logan Square Petite Ped Top 24.25:x20.13"" 4""CC White"
GERB-12-559,Gerber,320.62,1.0,45,,,45,0.1404,4.2,"Gerber G0012559 Logan Square Petite Ped Top 24.25""x20.13"" 8""CC White"
DURA-0481460000,Duravit,170.62,1.0,13.2277,3010.4414,21.66,21.66,0.1269,3.8,"Duravit 0481460000 Design Classics 18 1/8"" Oval Undermount Sink in White with Overflow"
S&DT-BURN-202EN-GO,US Boiler,1648.08,2.19,202,,,202,0.1226,3.6,"US Boiler (Burnham) Scratched or Dented, Series 2 Gas Boiler 38,000 Elct Ign"
MOEN-G18180,Moen,513.36,1.0,27.35,8377.6,60.27,60.27,0.1174,3.5,Moen G18180 Prep 1800 Series Undermount Stainless Steel 31 in. 0-Hole Single Bowl Kitchen 
TOTO-LT530.8-01,Toto,453.96,1.0,53,7325.64,52.7,53,0.1168,3.5,"Toto USA LT530.8#01 - Promenade® Cotton, Drop-In Sinks (8"" on Center Faucet Holes) Durable"
AMST-0618.000.020,American Standard,279.63,1.0,27,4510.8735,32.45,32.45,0.1161,3.4,American Standard 0618000.020 Studio® Large Under Counter Sink White
TOTO-UT104EV-01,Toto,312.78,1.0,34,4947.755,35.6,35.6,0.1138,3.4,Toto UT104EV#01 COMMERCIAL WASHOUT URINAL W/ BACK SPUD--COTTON
SUNT-SUS-4,Suntemp,93.3,2.19,10,,,10,0.1072,3.2,"Suntemp SUS-4 4' Baseboard Heater Complete - 700 Series - 3/4"" Element"
SUNT-SUS-5,Suntemp,116.62,2.19,12.5,,,12.5,0.1072,3.2,"Suntemp SUS-5 5' Baseboard Heater Complete - 700 Series - 3/4"" Element"
SUNT-SUS-7,Suntemp,163.27,2.19,17.5,,,17.5,0.1072,3.2,"Suntemp SUS-7 7' Baseboard Heater Complete - 700 Series - 3/4"" Element"
SUNT-SUS-8,Suntemp,186.6,2.19,20,,,20,0.1072,3.2,"Suntemp SUS-8 8' Baseboard Heater Complete - 700 Series - 3/4"" Element"
SUNT-SUS-9,Suntemp,209.92,2.19,22.5,,,22.5,0.1072,3.2,"Suntemp SUS-9 9' Baseboard Heater Complete - 700 Series - 3/4"" Element"
TOTO-LT540G-01,Toto,276.9,1.0,25.5,4094.64,29.46,29.46,0.1064,3.2,"TOTO® 21-1/4"" x 14-3/8"" Large Rectangular Undermount Bathroom Sink with CEFIONTECT, Cotton"
AMST-0614.000.020,American Standard,247.17,1.0,25.8,3567.9454,25.67,25.8,0.1044,3.1,American Standard 0614000.020 Studio® Under Counter Sink White
DURA-0857910000,Duravit,287.62,1.0,27.9987,4158,29.91,29.91,0.104,3.1,Duravit 0857910000 1930 series Pedestal in White
MUST-557,E. L Mustee & Sons,565.78,1.7,60,,,60,0.106,3.1,"E. L Mustee & Sons 557WHT E.L. Mustee & Sons - DURAWALL® (Wall & Door Components) White, S"
AMST-7695.008.020,American Standard,1073.55,1.0,109,12822.9329,92.25,109,0.1015,3.0,American Standard 7695008.020 Akron® Wall-Hung Cast Iron Service Sink With 8-inch Faucet H
TOTO-LT532.8-01,Toto,429.78,1.0,40,5746.896,41.34,41.34,0.0962,2.9,"Toto USA LT532.8#01 - Promenade® (8"" on Center Faucet Holes) Cotton, Drop-In Sinks - Durab"
BURN-203EN-G0,US Boiler,3235.2,2.19,300,,,300,0.0927,2.8,"US Boiler (Burnham) Series 2e - 69,000 BTU Input - Cast Iron Sectional Chimney Vented Boil"
DXVF-D20030008.415,DXV,470.4,1.0,42.3,4827.7242,34.73,42.3,0.0899,2.7,"DXV D20030008.415 Fitzgerald® 24"" Sink Top, 3-Hole in CANVAS WHITE"
BURN-205EN-G0,US Boiler,3905.49,2.19,354,,,354,0.0906,2.7,"US Boiler (Burnham) Series 2e - 138,000 BTU Input - Cast Iron Sectional Chimney Vented Boi"
BURN-206EN-G0,US Boiler,4495.82,2.19,414,,,414,0.0921,2.7,"US Boiler (Burnham) Series 2e - 172,000 BTU Input - Cast Iron Sectional Chimney Vented Boi"
BURN-207EN-G0,US Boiler,5064.69,2.19,458,,,458,0.0904,2.7,"US Boiler (Burnham) Series 2e - 207,000 BTU Input - Cast Iron Sectional Chimney Vented Boi"
BURN-208EN-G0,US Boiler,5555.25,2.19,502,,,502,0.0904,2.7,"US Boiler (Burnham) Series 2e - 241,000 BTU Input - Cast Iron Sectional Chimney Vented Boi"
AMST-0610.000.020,American Standard,306.25,1.0,27,3261.5625,23.46,27,0.0882,2.6,American Standard 0610000.020 Boulevard® Under Counter Sink White
AMST-0643.001.020,American Standard,292.94,1.0,17,3589.789,25.83,25.83,0.0882,2.6,American Standard 0643001.020 Studio® Drop-In Sink With Center Hole Only White
AMST-0426.000.020,American Standard,245.5,1.0,20.5,2815.8912,20.26,20.5,0.0835,2.5,American Standard 0426000.020 Studio Carre® Under Counter Sink White
AMST-9512.999.020,American Standard,1101.86,1.0,73.6,12735.4206,91.62,91.62,0.0832,2.5,American Standard 9512999.020 Wall-Hung Clinic Service Sink White
MUST-360.100,E. L Mustee & Sons,301.55,0.88,25,0.7,0.01,25,0.0829,2.5,"E. L Mustee & Sons 360.100 12"" x 60"", White, Molded Fiberglass, Entry Ramp for Shower Floo"
TACO-110-252F,Taco Comfort Solutions,36.13,0.88,3,,,3,0.083,2.5,"Taco Comfort Solutions Freedom Flange Set - Cast Iron, 2 bolt, 1"" NPT; Fits - All ""00"" (no"
TACO-110-253F,Taco Comfort Solutions,36.13,0.88,3,,,3,0.083,2.5,"Taco Comfort Solutions 110-253F Freedom Flange Set - Cast Iron, 2 bolt, 1-1/4"" NPT; Fits -"
TACO-110-254F,Taco Comfort Solutions,36.13,0.88,3,,,3,0.083,2.5,"Taco Comfort Solutions 110-254F Freedom Flange Set - Cast Iron, 2 bolt, 1-1/2"" NPT; Fits -"
TOTO-UT105U-01,Toto,487.5,1.0,41.03,5445.464,39.18,41.03,0.0842,2.5,"TOTO® Wall-Mount ADA Compliant 0.125 GPF Urinal with Top Spud Inlet, Cotton White - UT105U"
BURN-204EN-G0,US Boiler,3472.65,2.19,292,,,292,0.0841,2.5,"US Boiler (Burnham) Series 2e - 103,000 BTU Input - Cast Iron Sectional Chimney Vented Boi"
WOOD-X34-2,"Woodford Manufacturing Company, LLC",173.41,1.94,14.4,,,14.4,0.083,2.5,Woodford X34-2 Model X34 Yard Hydrant 2 Feet
WOOD-X34-1,"Woodford Manufacturing Company, LLC",159.34,1.94,12.2,,,12.2,0.0766,2.3,Woodford X34-1 Model X34 Yard Hydrant 1 Foot
MUST-265-WHT,E. L Mustee & Sons,609.4,1.7,43,9,0.06,43,0.0706,2.1,"E. L Mustee & Sons E.L. Mustee & Sons - DURAWALL® (Wall & Door Components) White, Smooth/C"
ELKA-EZS8L,Elkay,1022.55,2.0,59,9853.94,70.89,70.89,0.0693,2.1,Elkay EZS8L Wall Mount ADA Cooler Non-filtered Refrigerated Light Gray Granite
