SKU,ID,peso_lb,preco,lambda
WEBS-H-50702W,7716837818471,0.51,17.5,0.029143
WEBS-H-50703W,7716837851239,0.77,25.01,0.030788
WEBS-H-50704W,7716837884007,1.29,41.27,0.031258
WEBS-H-74000,7716838408295,0.5,17.62,0.028377
WEBS-H-80433W,7716838670439,3.0,95.86,0.031296
WEBS-H-81702W,7716839587943,0.49,27.42,0.01787
WEBS-H-81703W,7716839620711,0.77,39.16,0.019663
WEBS-H-81704W,7716839653479,1.17,58.76,0.019912
WEBS-H-81705W,7716839686247,1.85,88.09,0.021001
WILK-3-375AST,7716847648871,119.0,6159.73,0.019319
ZURN-P1900-SEMI-DOME,7716846010471,0.5,93.75,0.005333
