sku,vendor,ptype,price,lb,usd_lb,teto_lb,handle,variant_id,product_id
GVLF-485-100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1006.08,0.34,2959.1,33.9,1-union-316-stainless-steel-press,44353404829799,7716760092775
GVLF-442-150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,985.95,0.34,2899.9,33.23,1-1-2-tee-316-stainless-steel-press,44353401389159,7716756717671
GVLF-A7074SS-200-304,Gruvlok,Gruvlok Fittings,920.99,0.44,2093.2,31.04,2-cap-304-stainless-steel-gr-gvlf-a7074ss-200-304,44350753046631,7715451371623
GVLF-478-100.075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,905.46,0.34,2663.1,30.51,1x3-4-tee-female-316-stainless-steel-press,44353403584615,7716758913127
GVLF-478-075.100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,900.68,0.34,2649.1,30.35,3-4x1-tee-female-316-stainless-steel-press,44353403486311,7716758814823
GVLF-478-100.125-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,900.68,0.34,2649.1,30.35,1x1-1-4-tee-female-316-stainless-steel-press,44353403617383,7716758945895
TACO-409-3,Taco Comfort Solutions,Air Vents,900.6,0.2,4503.0,30.35,air-vent-commercially-rated-3-4-inch-npt-brass,44353379860583,7716735352935
GVLF-479-150.125-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,886.86,0.34,2608.4,29.89,1-1-2x1-1-4-female-adapter-316-stainless-steel-press,44353404436583,7716759699559
GVLF-469-075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,883.39,0.34,2598.2,29.77,3-4-ball-valve-316-stainless-steel-press,44353401782375,7716757110887
GVLF-479-200.125-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,881.09,0.34,2591.4,29.69,2x1-1-4-female-adapter-316-stainless-steel-press,44353404534887,7716759797863
GVLF-476-200.150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,870.71,0.34,2560.9,29.34,2x1-1-2-male-adapter-316-stainless-steel-press,44353403355239,7716758683751
GVLF-476-150.100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,866.12,0.34,2547.4,29.19,1-1-2-male-adapter-316-stainless-steel-press-gvlf-476-150-100-e-316,44353403256935,7716758585447
GVLF-478-100.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,855.16,0.34,2515.2,28.82,1x1-2-tee-female-316-stainless-steel-press,44353403551847,7716758880359
GVLF-485-075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,804.86,0.34,2367.2,27.12,3-4-union-316-stainless-steel-press,44353404797031,7716760060007
NAVI-GXXX002396,Navien,Accessories (Controls & Accessories),766.68,0.26,2948.8,25.84,nhb-h-stainless-steel-manifold-kit,44351188107367,7715668754535
GVLF-467-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,764.61,0.34,2248.9,25.77,2-90-elbow-street-316-stainless-steel-press,44353401585767,7716756914279
GVLF-468-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,754.56,0.34,2219.3,25.43,2-90-elbow-316-stainless-steel-press,44353401749607,7716757078119
GVLF-478-075.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,753.24,0.34,2215.4,25.38,3-4x1-2-tee-female-316-stainless-steel-press,44353403453543,7716758782055
GVLF-470-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,745.17,0.34,2191.7,25.11,2-45-elbow-street-316-stainless-steel-press,44353402011751,7716757340263
GVLF-471-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,745.17,0.34,2191.7,25.11,2-45-elbow-316-stainless-steel-press,44353402175591,7716757504103
GVLF-473-100.075-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,744.5,0.34,2189.7,25.09,1x3-4-tee-316-stainless-steel-press,44353402273895,7716757602407
