marca,faixa,sku,mpn,nosso_preco,nosso_custo,markup_real,titulo,preco_supplyhouse_PREENCHER,gap_pct_CALCULAR
Milwaukee,$25-100,MILW-49-90-1978,49-90-1978,44.31,29.54,1.5,Milwaukee Tools 49-90-1978 Large Wet/Dry Vacuum High Efficiency Filter,,
Milwaukee,$100-400,MILW-2955-20,2955-20,212.85,141.9,1.5,Milwaukee Tools 2955-20 M12™ Bluetooth® Jobsite Speaker w/ PACKOUT™ Co,,
Milwaukee,$400-1500,MILW-2829S-20,2829S-20,612.42,408.28,1.5,Milwaukee Tools 2829S-20 M18 FUEL™ Compact Dual-Trigger Band Saw (Tool,,
Milwaukee,$1500-+,MILW-49-16-2490X,49-16-2490X,2857.32,1904.88,1.5,"Milwaukee Tools 49-16-2490X 1/2"" - 1-1/4"" CTS-V Pivoting Press Ring Ki",,
MrPEX,$0-25,MPEX-4865050,4865050,10.89,7.26,1.5,"MrPEX Systems 4865050 1/2"" PEX 90° Elbow (Expansion(F1960)) - Brass",,
MrPEX,$25-100,MPEX-4891017,4891017,46.84,31.23,1.5,"MrPEX Systems 4891017 1"" x 1"" x 3/4"" PEX Reducing Tee (Expansion(F1960",,
MrPEX,$100-400,MPEX-4832020,4832020,227.52,151.68,1.5,"MrPEX Systems 4832020 2"" PEX Female Adapter (Expansion(F1960) x FIP) -",,
MrPEX,$400-1500,MPEX-3250700,3250700,795.93,530.62,1.5,MrPEX Systems 3250700 7 Branches - 1 1/4 Stainless Steel Manifold Asse,,
MrPEX,$1500-+,MPEX-3320800,3320800,1575.18,1050.12,1.5,MrPEX Systems 3320800 8 Branches - 1 1/2 Chrome Plated Brass Manifold ,,
Navien,$0-25,NAVI-30003873B,30003873B,14.79,9.86,1.5,"Navien 30003873B 3"" Wall Flange and Vent Terminator Kit",,
Navien,$25-100,NAVI-GXXX001895,GXXX001895,62.51,41.67,1.5,Navien GXXX001895 80-125 mm 90 Deg Elbow,,
Navien,$100-400,NAVI-GXXX001893,GXXX001893,168.75,112.5,1.5,"Navien GXXX001893 Concentric Roof Termination- 13""",,
