variant_id,product_id,sku,titulo,peso_antigo_lb,peso_novo_lb
44350242979943,7715211542631,AMST-3701.001.020,American Standard 3701001.020 Yorkville® Pressure Assist Back Outlet Elongated EverClean® Bowl White,40.0,59.8
44350243209319,7715211640935,AMST-3703.001.020,American Standard 3703001.020 Yorkville® Pressure Assist Chair Height Back Outlet Elongated EverClean® Bowl White,40.0,63.0
44350244913255,7715211706471,AMST-3705.216.020,American Standard 3705216.020 H2Option® and H2Optimum® Chair Height Elongated Bowl White,40.0,50.5
44350246158439,7715212165223,AMST-3706.216.020,American Standard 3706216.020 H2Option® and H2Optimum® Standard Height Elongated Bowl White,40.0,48.2
44350247141479,7715212591207,AMST-4000.101.020,American Standard 4000101.020 Cadet® 3 FloWise® 1.28 gpf/4.8 Lpf 12-Inch Rough Tank White,40.0,32.0
44350247469159,7715212755047,AMST-4000.813.020,American Standard 4000813.020 Cadet® 3 FloWise® 1.28 gpf/4.8 Lpf 12-Inch Rough Right Hand Trip Lever Tank White,40.0,32.0
44350247862375,7715212886119,AMST-4019.228.020,American Standard 4019228.020 Baby Devoro 1.28 gpf/4.8 Lpf 10-Inch Rough Left-Hand Trip Lever Tank White,40.0,28.2
44350248026215,7715212984423,AMST-4133A.114.020,American Standard 4133A114.020 H2Optimum® 1.1 gpf/4.2 Lpf 12-Inch Rough Tank White,40.0,33.2
44350249107559,7715213377639,AMST-4142.016.020,American Standard 4142016.020 Pressure Assist 1.6 gpf/6.0 Lpf Left-Hand Trip Lever EverClean® Tank White,40.0,45.7
44350249730151,7715213607015,AMST-4142.100.020,American Standard 4142100.020 Pressure Assist 1.1 gpf/4.2 Lpf Left-Hand Trip Lever EverClean® Tank White,40.0,45.7
44350250352743,7715213869159,AMST-4142.801.020,American Standard 4142801.020 Pressure Assist 1.1 gpf/4.2 Lpf Right-Hand Trip Lever EverClean® Tank White,40.0,45.7
44350250778727,7715214032999,AMST-4188A.004.020,American Standard 4188A004.020 Cadet® PRO 1.6 gpf/6.0 Lpf 12-Inch Rough Tank White,40.0,31.2
44350250844263,7715214098535,AMST-4188A.004.021,American Standard 4188A004.021 Cadet® PRO 1.6 gpf/6.0 Lpf 12-Inch Rough Tank Bone,40.0,31.2
44350251204711,7715214262375,AMST-4188A.004.222,American Standard 4188A004.222 Cadet® PRO 1.6 gpf/6.0 Lpf 12-Inch Rough Tank Linen,40.0,31.2
44350251335783,7715214327911,AMST-4188A.005.020,American Standard 4188A005.020 Cadet® PRO 1.6 gpf/6.0 Lpf 12-Inch Rough Right-Hand Trip Lever Tank White,40.0,31.2
44350251434087,7715214426215,AMST-4188A.054.020,American Standard 4188A054.020 Cadet® PRO 1.6 gpf/6.0 Lpf 12-Inch Rough Lined Tank White,2.0,31.2
44350251630695,7715214491751,AMST-4188A.104.020,American Standard 4188A104.020 Cadet® PRO 1.28 gpf/4.8 Lpf 12-Inch Rough Tank White,40.0,31.2
44350251794535,7715214655591,AMST-4188A.105.020,American Standard 4188A105.020 Cadet® PRO 1.28 gpf/4.8 Lpf 12-Inch Rough Right-Hand Trip Lever Tank White,40.0,31.2
44350252023911,7715214753895,AMST-4188A.154.020,American Standard 4188A154.020 Cadet® PRO 1.28 gpf/4.8 Lpf 12-Inch Rough Lined Tank White,40.0,31.2
44350252122215,7715214852199,AMST-4188B.004.020,American Standard 4188B004.020 Cadet® PRO 1.6 gpf/6.0 Lpf 10-Inch Rough Tank White,40.0,30.2
44350252187751,7715214917735,AMST-4188B.104.020,American Standard 4188B104.020 Cadet® PRO 1.28 gpf/4.8 Lpf 10-Inch Rough Tank White,40.0,30.2
44350252482663,7715215048807,AMST-4216.228.020,American Standard 4216228.020 Town Square® S 1.28 gpf/4.8 Lpf 12-Inch Rough Tank White,40.0,31.0
44350252548199,7715215114343,AMST-4225A.004.020,American Standard 4225A004.020 Champion® PRO 1.6 gpf/6.0 Lpf 12-Inch Rough Tank White,40.0,35.4
44350252613735,7715215179879,AMST-4225A.104.020,American Standard 4225A104.020 Champion® PRO 1.28 gpf/4.8 Lpf 12-Inch Rough Tank White,40.0,35.4
44350252646503,7715215212647,AMST-4225A.105.020,American Standard 4225A105.020 Champion® PRO 1.28 gpf/4.8 Lpf 12-Inch Rough Right Hand Trip Lever Tank White,40.0,34.6
44350253629543,7715215868007,AMST-4519A.104.020,American Standard 4519A104.020 Edgemere® 1.28 gpf/4.8 Lpf 12 in. Rough Tank White,40.0,30.4
44350253858919,7715215966311,AMST-5001G.055.020,American Standard 5001G055.020 Commercial Open Front Toilet Seat for Baby Devoro Toilet Bowls White,5.0,3.23
44350253924455,7715216031847,AMST-5025B.65G.020,American Standard 5025B65G.020 Telescoping Slow-Close & Easy Lift-Off Round Front Toilet Seat White,5.0,4.25
44350254022759,7715216130151,AMST-5257A.65MT.020,American Standard 5257A65MT.020 Cardiff Slow-Close Elongated Toilet Seat White,5.0,3.75
44350254350439,7715216228455,AMST-5350.110.020,American Standard 5350110.020 Cadet® 3 Slow-Close Elongated Toilet Seat White,5.0,4.45
44350254678119,7715216392295,AMST-5901.100.020,American Standard 5901100.020 Commercial Heavy Duty Open Front Elongated Toilet Seat White,5.0,3.7
44350255235175,7715216490599,AMST-5901.100SS.020,American Standard 5901100SS.020 Commercial Heavy Duty Open Front Elongated Toilet Seat with EverClean® Surface and Self-sustaining Hinges White,5.0,3.4
44350255661159,7715216719975,AMST-6400.001.020,American Standard 6400001.020 Stallbrook® 0.5 - 1.0 gpf (1.9 - 3.8 Lpf) Top Spud Urinal White,1.0,112.0
44350255693927,7715216752743,AMST-6515.001.020,American Standard 6515001.020 Washbrook 0.125 -1.0 gpf (0.47 - 3.8 Lpf) Back Spud Urinal White,1.0,71.0
44350256283751,7715216949351,AMST-6550.001.020,American Standard 6550001.020 Allbrook® 0.5 - 1.0 gpf (1.9 - 3.8 Lpf) Top Spud Siphon Jet Urinal White,1.0,32.2
44350256349287,7715217014887,AMST-6561.017.020,American Standard 6561017.020 Trimbrook® 1.0 gpf/3.8 Lpf Top Spud Siphon Jet Urinal White,1.0,73.0
