sku,vendor,ptype,price,lb_loja,teto_lb,handle,variant_id,product_id
MOEN-T2900BL,Moen,Tub-Shower Trim Sets,140.53,1.0,4.74,moen-gibson-2-handle-wall-mount-valve-trim-kit-with-3-setting-integrated-diverter-in-matte-black-valve-not-included,44350988648551,7715586834535
MOUN-MT200EV/MB,Mountain Plumbing Products,Flanges & Stoppers,140.4,1.0,4.73,classic-complete-stopper-strainer-unit-waste-disposer-trim-matte-black,44350997168231,7715594109031
MOUN-MT200EV/ORB,Mountain Plumbing Products,Flanges & Stoppers,140.4,1.0,4.73,classic-complete-stopper-strainer-unit-waste-disposer-trim-oil-rubbed-bronze,44350997266535,7715594174567
GERB-D501530TC,Gerber,Shower Trim Sets,140.13,1.0,4.72,amalfi-1h-shower-only-trim-kit-treysta-cartridge-1-75gpm-chrome,44350717526119,7715425878119
MOEN-T2472EPBL,Moen,Shower Trim Sets,140.13,1.0,4.72,moen-genta-lx-1-handle-posi-temp-eco-performance-shower-faucet-trim-kit-in-matte-black-valve-not-included,44350987698279,7715586015335
MILW-48-00-5572,Milwaukee Tools,Sawzall & Hackzall Blades,137.18,0.35,4.62,9-wrecker-with-nitrus-carbide-sawzall-blade-for-multi-material-5-pack,44350918525031,7715539583079
MOUN-MT749/BRN,Mountain Plumbing Products,Decorative Drainage,136.5,1.0,4.6,tear-drop-pattern-lavatory-grid-drain-without-overflow-brushed-nickel,44350999101543,7715595616359
GERB-D501522BNTC,Gerber,Shower Trim Sets,136.08,1.0,4.59,antioch-1h-shower-only-trim-kit-treysta-cartridge-1-75gpm-brushed-nickel,44350717460583,7715425812583
GEBE-240.839.00.1,Geberit,Bidets & Bidet Faucets,135.0,1.0,4.55,geberit-bidet-seat-water-supply-hose,44350709301351,7715420602471
MOUN-MT100/BRN,Mountain Plumbing Products,Soap or Lotion Dispensers,133.57,1.0,4.5,soap-lotion-dispenser-phoenix-style-brushed-nickel,44350996349031,7715593519207
MOUN-MT200EV/BRN,Mountain Plumbing Products,Flanges & Stoppers,133.57,1.0,4.5,classic-complete-stopper-strainer-unit-waste-disposer-trim-brushed-nickel,44350997069927,7715594010727
MOEN-T2902EPBN,Moen,Shower Trim Sets,133.2,1.0,4.49,moen-gibson-single-handle-posi-temp-shower-only-faucet-trim-kit-in-brushed-nickel-valve-not-included,44350988779623,7715586965607
DELT-78924-SS,Delta,"Towel Bars, Rings & Hooks",132.96,2.0,4.48,delta-tetra-24-towel-bar-stainless,44350547034215,7715362111591
HONE-Q3400A1032/U,Resideo,Gas Ignition Components,132.68,0.2,4.47,30-in-high-temperature-igniter-flame-rod-assembly,44351321702503,7715741401191
DELT-T14232,Delta,Shower Trim Sets,132.19,1.0,4.45,delta-woodhurst-shower-trim-chrome,44350574788711,7715372564583
GROH-40.535DC0,Grohe,Soap or Lotion Dispensers,131.37,1.0,4.43,cosmopolitan-soap-dispenser-in-grohe-supersteel,44350727651431,7715434266727
ISED-STS-00SN,InSinkErator,Air Switches,131.07,1.0,4.42,insinkerator-sinktop-switch-air-switch-satin-nickel-dual-outlet,44350825398375,7715481845863
GROH-27.412GN0,Grohe,Shower Arms,130.62,1.0,4.4,6-1-4-shower-arm,44350723850343,7715431022695
DIAB-DS0912BW25,Diablo,Sawzall & Hackzall Blades,130.57,0.35,4.4,9-4-6tpi-bi-metal-reciprocating-saw-blade-for-nail-embedded-wood-25-pack,44350630264935,7715390160999
MOUN-MT125/PN,Mountain Plumbing Products,Soap or Lotion Dispensers,129.68,1.0,4.37,soap-lotion-dispenser-contemporary-polished-nickel,44350996414567,7715593584743
DIAB-DS0609CGP10,Diablo,Sawzall & Hackzall Blades,128.5,0.35,4.33,6-6-9tpi-demo-demon-carbide-teeth-reciprocating-saw-blades-for-general-purpose-cuts-10-pack,44350624137319,7715388489831
HONE-Q3450C1185/U,Resideo,Gas Ignition Components,128.35,0.2,4.33,pilot-burner-used-for-natural-gas-includes-a-bcr-18-orifice-left-single-tip-style-c-style-mounting-bracket-and-primary-aeration,44351321833575,7715741532263
HONE-Q3450C2092/U,Resideo,Gas Ignition Components,128.35,0.2,4.33,pilot-burner-used-for-natural-gas-includes-a-bcr-18-orifice-front-single-tip-style-c-style-mounting-bracket-and-primary-aeration,44351321866343,7715741565031
HONE-Q3450E3020/U,Resideo,Gas Ignition Components,128.35,0.2,4.33,pilot-burner-used-for-natural-gas-includes-a-bcr-22-orifice-right-single-tip-style-e-style-mounting-bracket-and-primary-aeration,44351321899111,7715741597799
HALS-98536C,Elkay,Drinking Fountain & Cooler Parts & Accessories,127.14,2.0,4.28,kit-push-button-assembly,44350692425831,7715410804839
SIOU-672WV0444,Sioux Chief,12-Port Manifold,126.19,2.0,4.25,1-male-sweat-manifold-12-port-1-2-male-sweat,44351391039591,7715780493415
TEKM-070,tekmar Control Systems,Sensors,126.0,0.2,4.25,tekmar-outdoor-sensor-070,44353382350951,7716737777767
MOUN-MT741/BRN,Mountain Plumbing Products,Decorative Drainage,125.77,1.0,4.24,ez-click-soft-touch-round-lavatory-drain-with-overflow-brushed-nickel,44350998806631,7715595354215
MOUN-MT742/BRN,Mountain Plumbing Products,Decorative Drainage,125.77,1.0,4.24,ez-click-soft-touch-round-lavatory-drain-without-overflow-brushed-nickel,44350998904935,7715595419751
MILW-48-00-8789,Milwaukee Tools,Sawzall & Hackzall Blades,125.52,0.35,4.23,12-18-tpi-torch-sawzall-blade-for-medium-metal-25-pack,44350919409767,7715540467815
BRIZ-RP81627-BL,Brizo,Bathroom Sink Accessories,123.73,1.0,4.17,brizo-push-button-pop-up-without-overflow-matte-black,44350374969447,7715265708135
DIVE-CP-22LP,DiversiTech,Condensate Pumps & Accessories,123.3,1.0,4.16,cp-series-120v-low-profile-condensate-pump-22-ft-lift,44350650318951,7715397107815
DELT-75608,Delta,"Towel Bars, Rings & Hooks",122.94,2.0,4.14,delta-dorval-8-towel-bar-chrome,44350546706535,7715361783911
