Handle,SKU,Status,Preco_atual,Custo,MAP,Executive,Preco_novo,Subida_pct,Compare_at,UPC_loja,UPC_planilha,Flags
3-4-in-union-push-connect-mixing-valve-lf-1070,HONE-AM101C1070-SB-1LF,ACTIVE,152.04,101.36,173.59,121.51,173.59,14.2,,085267545389,85267545389,
3-4-in-water-filter,HONE-F76S1015,ACTIVE,420.12,280.08,479.67,335.77,479.67,14.2,,085267819046,85267819046,
3-4-in-x-3-4-in-universal-24-vac-standard-opening-ignition-gas-valve,HONE-VR8345Q4563/U,ACTIVE,191.62,127.75,218.79,153.15,218.79,14.2,,085267797306,85267797306,
3-way-1-2-in-fnpt-vc-valve-assembly-3-7-cv-and-linear-flow,HONE-VCZNB6100/U,ACTIVE,65.85,43.9,75.17,52.62,75.17,14.2,,085267815291,85267815291,
3-way-1-2-in-sweat-vc-valve-assembly-3-8-cv-and-linear-flow,HONE-VCZMA6100/U,ACTIVE,60.96,40.64,69.60,48.72,69.60,14.2,,085267815246,85267815246,
3-way-1-in-sweat-vc-valve-assembly-9-cv-and-linear-flow,HONE-VCZMS6100/U,ACTIVE,118.29,78.86,135.06,94.54,135.06,14.2,,085267813808,85267813808,
30-mv-thermocouple-includes-a-24-in-leads-11-32-32-male-connector-nut-connection-push-in-clip-and-adapter-assembly,HONE-Q390A1046/U,ACTIVE,7.14,4.76,8.16,5.71,8.16,14.3,,085267069267,85267069267,
30-mv-thermocouple-includes-a-30-in-leads-11-32-32-male-connector-nut-connection-push-in-clip-and-adapter-assembly,HONE-Q390A1053/U,ACTIVE,7.54,5.03,8.61,6.03,8.61,14.2,,085267069274,85267069274,
30-mv-thermocouple-includes-a-36-in-leads-11-32-32-male-connector-nut-connection-push-in-clip-and-adapter-assembly,HONE-Q390A1061/U,ACTIVE,7.95,5.3,9.07,6.35,9.07,14.1,,085267069281,85267069281,
30-mv-thermocouple-includes-an-18-in-leads-11-32-32-male-connector-nut-connection-push-in-clip-and-adapter-assembly,HONE-Q390A1095/U,ACTIVE,6.90,4.6,7.87,5.51,7.87,14.1,,085267069311,85267069311,
35-in-750-mv-thermopile-with-push-in-clip-and-split-nut,HONE-Q313A1188/U,ACTIVE,68.16,45.44,77.81,54.47,77.81,14.2,,085267066297,85267066297,
36-inch-ignition-cable-assembly-with-a-straight-boot,HONE-392125-2/U,ACTIVE,45.81,30.54,52.30,36.61,52.30,14.2,,085267029117,85267029117,
40-va-fan-center-with-spdt-switching-action,HONE-R8239A1052/U,ACTIVE,66.97,44.65,76.47,53.53,76.47,14.2,,085267000420,85267000420,
40-va-fan-center-with-spdt-switching-action-hone-r8285a1048-u,HONE-R8285A1048/U,ACTIVE,50.88,33.92,58.09,40.66,58.09,14.2,,085267081153,85267081153,
5-in-round-automatic-damper,HONE-ARD5TZ/U,ACTIVE,140.97,93.98,160.94,112.66,160.94,14.2,,085267806039,85267806039,
6-in-round-automatic-damper,HONE-ARD6TZ/U,ACTIVE,146.37,97.58,167.11,116.98,167.11,14.2,,852679193333,852679193333,
6-in-round-fresh-air-damper,HONE-EARD6TZ/U,ACTIVE,148.86,99.24,169.96,118.97,169.96,14.2,,085267690423,85267690423,
750-mv-thermopile-35-in-long-with-push-in-clip,HONE-Q313A1139/U,ACTIVE,67.75,45.17,77.36,54.15,77.36,14.2,,085267066259,85267066259,
8-in-round-modulating-damper,HONE-MARD8/U,ACTIVE,242.55,161.7,276.91,193.84,276.91,14.2,,085267228497,85267228497,
8-in-x-20-in-parallel-blade-damper,HONE-ZD8X20TZ/U,ACTIVE,207.69,138.46,237.13,165.99,237.13,14.2,,,85267106832,
actuator-for-vc-series-valves-spst-2-position-24-vac,HONE-VC8110ZZ03/U,ACTIVE,75.60,50.4,86.31,60.42,86.31,14.2,,085267815048,85267815048,
actuator-with-with-power-failure-reposition-2-to-10-vdc,HONE-VC7936ZZ11-529/U,ACTIVE,241.00,160.67,275.16,192.61,275.16,14.2,,085267832441,85267832441,
adaptor-kit-for-v4043e-j-v8043j-low-pressure-steam-valves,HONE-40003918-008/U,ACTIVE,22.50,15.0,25.70,17.99,25.70,14.2,,085267031035,85267031035,
adaptor-plate-and-ball-assembly,HONE-40003918-007/U,ACTIVE,22.50,15.0,25.70,17.99,25.70,14.2,,085267031028,85267031028,
advanced-electrode-humidifier-replacement-cylinder,HONE-HM750ACYL/U,ACTIVE,105.05,70.03,119.93,83.95,119.93,14.2,,085267941815,85267941815,
advanced-evaporative-fan-powered-humidifier,HONE-HE300A1005/U,ACTIVE,419.47,279.65,478.94,335.26,478.94,14.2,,085267845892,85267845892,
airswitch-product-style-e121,HONE-AP5208-30/U,ACTIVE,147.57,98.38,168.49,117.94,168.49,14.2,,085267225359,85267225359,
angle-pattern-1-2-in-high-capacity-valve,HONE-V110E1004/U,ACTIVE,91.66,61.11,104.67,73.27,104.67,14.2,,,85267103213,
angle-pattern-1-2-in-vertical-thermostatic-radiator-valve,HONE-V2040ESL15,ACTIVE,35.85,23.9,40.94,28.66,40.94,14.2,,4029289040022,4029289040022,
angle-pattern-1-in-high-capacity-valve,HONE-V110E1020/U,ACTIVE,102.00,68.0,116.46,81.52,116.46,14.2,,,85267103237,
angle-pattern-3-4-in-vertical-thermostatic-radiator-valve,HONE-V2040ESL20,ACTIVE,73.12,48.75,83.49,58.44,83.49,14.2,,4029289040039,4029289040039,
automatic-backwash-control-f76s-f74c,HONE-MV876B1018,ACTIVE,302.50,201.67,345.39,241.77,345.39,14.2,,085267819091,85267819091,
cadmium-sulfide-flame-detector-with-60-in-leads-type-r-mounting-bracket-and-130367-cad-cell,HONE-C554A1794/U,ACTIVE,23.68,15.79,27.03,18.92,27.03,14.1,,085267037877,85267037877,
circulator-aquastat-controller-high-or-low-limit-range-100-200-f-adjustable-differential-spst-no-terminals-break-on-temperature-rise,HONE-L6008A1242/U,ACTIVE,292.77,195.18,334.26,233.98,334.26,14.2,,085267176484,85267176484,
circulator-aquastat-controller-high-or-low-limit-range-100-240-f-1-2-in-npt-fixed-differential-spst-no-terminals-break-on-temperature-rise,HONE-L6006A1012/U,ACTIVE,235.31,156.87,268.66,188.06,268.66,14.2,,085267053686,85267053686,
circulator-aquastat-controller-high-or-low-limit-range-100-240-f-adjustable-differential-spst-no-terminals-break-on-temperature-rise,HONE-L6006A1244/U,ACTIVE,163.59,109.06,186.79,130.75,186.79,14.2,,085267053723,85267053723,
circulator-aquastat-controller-high-or-low-limit-range-65-200-f-adjustable-differential-spst-no-terminals-break-on-temperature-rise,HONE-L6006C1034/U,ACTIVE,153.36,102.24,175.10,122.57,175.10,14.2,,085267053808,85267053808,
